Medicamento;Indicação;Dosagem/Apresentação
mepolizumabe;Asma;100 mg/ml - solução injetável.
mesalazina;Doença de Crohn;400 mg, 500 mg e 800 mg – comprimido
mesalazina;Retocolite Ulcerativa;400 mg, 500 mg e 800 mg – comprimido;
metadona;Dor Crônica;5 mg e 10 mg – comprimido; 10 mg/mL injetável – ampola de 1mL
metilprednisolona;Doença de Chron (K50.0, K50.1, K50.8);500 mg injetável – ampola
metilprednisolona;Imunossupressão no transplante cardíaco (T86.2, Z94.1);500 mg injetável – ampola
metilprednisolona;Imunossupressão no transplante de outros órgãos e tecidos (Z94.8);500 mg injetável – ampola
metilprednisolona;Imunossupressão no transplante hepático em adultos (Z94.9, T86.4);500 mg injetável – ampola
metilprednisolona;Imunossupressão no transplante hepático em pediatria (T86.4, Z94.4);500 mg injetável – ampola
metilprednisolona;Imunossupressão no transplante pulmonar (Z94.2, Z94.3);500 mg injetável – ampola
metilprednisolona;Imunossupressão no transplante renal (T86.1, Z94.0);500 mg injetável – ampola
metilprednisolona;Lúpus Eritematoso Sistêmico;500 mg injetável – ampola (ver protocolo Lúpus)
metilprednisolona;Uveítes não Infecciosas (H30.1, H30.2, H30.8, H20.1, H15.0);500 mg solução injetável - ampola
metotrexato;Artrite Idiopática Juvenil;25mg/ml – injetável, frasco-ampola de 2ml; 2,5mg – comprimido
metotrexato;Artrite Psoríaca;25 mg/mL – injetável, ampola de 2 mL; 2,5 mg – comprimido
metotrexato;Artrite Reumatóide;25mg/mL – injetável, frasco-ampola de 2mL; 2,5mg – comprimido
metotrexato;Dermatomiosite e Polimiosite;25 mg/mL – injetável, ampola de 2 mL; e 2,5 mg – comprimido
metotrexato;Doença de Chron;25 mg/mL – injetável, ampola de 2 mL
metotrexato;Esclerose sistêmica;25 mg/mL – injetável, ampola de 2 mL; 2,5 mg – comprimido
metotrexato;Espondilite ancilosante;25 mg/mL – injetável, ampola de 2 mL e 2,5 mg – comprimido
metotrexato;Lupus Eritematoso Sistêmico;25 mg/mL – injetável, ampola de 2 mL; e 2,5 mg – comprimido
metotrexato;Psoríase;25 mg/mL – injetável, ampola de 2 mL; 2,5 mg – comprimido
micofenolato de mofetila;Imunossupressão no Transplante cardíaco;500 mg
micofenolato de mofetila;Imunossupressão no Transplante Hepático em Adultos;500 mg – comprimido
micofenolato de mofetila;Imunossupressão no Transplante Hepático em Pediatria;500 mg – comprimido
micofenolato de mofetila;Imunossupressão no Transplante Renal;500 mg – comprimido
micofenolato de mofetila;Lúpus Eritematoso Sistemico;500 mg – comprimido.
micofenolato de sódio;Imunossupressão no Transplante Cardíaco;180 mg e 360 mg – comprimido
micofenolato de sódio;Imunossupressão no Transplante Hepático em Adultos;180 mg e 360 mg – comprimido
micofenolato de sódio;Imunossupressão no Transplante Renal;180 mg e 360 mg – comprimido
micofenolato de sódio;Imunossupressão no Transplante Hepático em Pediatria;180 mg e 360 mg – comprimido
miglustate;Doença de Gaucher;100 mg – cápsula
morfina;Dor Crônica;10 mg/mL injetável – ampola de 1 mL; 10 mg/mL solução oral – frasco de 60 mL;
naproxeno;Artrite idiopática juvenil;250mg e 500mg – comprimido
naproxeno;Artrite Psoríaca;250 mg e 500 mg – comprimido
naproxeno;Artrite Reumatóide;250mg e 500mg – comprimido
naproxeno;Dor Crônica;500 mg – comprimido.
naproxeno;Espondilite Ancilosante;250 mg e 500 mg – comprimido
natalizumabe;Esclerose múltipla;300 mg – frasco-ampola
nusinersena;Atrofia Muscular Espinhal 5q Tipo 1 (G12.0);2,4 mg/ml solução injetável - frasco-ampola (5 ml)
nusinersena;Atrofia Muscular Espinhal 5q Tipo 2 (G12.1);2,4 mg/ml solução injetável - frasco-ampola (5 ml)
octreotida;Acromegalia;Lar 10 mg, 20 mg e 30 mg injetável – frasco-ampola; 0,1 mg/ml injetável – ampola
olanzapina;Esquizofrenia;5 mg e 10 mg – comprimido
olanzapina;Transtorno Afetivo Bipolar;5 mg e 10 mg – comprimido
olanzapina;Transtorno Esquizoafetivo;5 mg e 10 mg – comprimido
omalizumabe;Asma;150mg (por frasco ampola de 2 ml)
pamidronato;Osteoporose;60 mg injetável – frasco-ampola
pancreatina;Fibrose Cística - Insuficiência Pancreática;10.000 UI e 25.000 UI – cápsula
pancreatina;Insuficiência Pancreática Exócrina;10.000 UI e 25.000 UI de lipase – cápsula
paricalcitol;Distúrbio Mineral Ósseo na Doença Renal Crônica;5,0 mcg/mL – ampola de 1 mL
penicilamina;Doença de Wilson;250 mg – cápsula
pilocarpina;Glaucoma;20 mg/ml solução oftálmica – frasco de 10mL
piridostigmina;Miastenia Gravis;60 mg – comprimido
pramipexol;Doença de Parkinson;0,125 mg, 0,25 mg e 1 mg – comprimido
pravastatina;Dislipidemia para prevenção de eventos cardiovasculares e pancreatite;10 mg, 20 mg e 40 mg – comprimido
primidona;Epilepsia;100 mg e 250 mg – comprimido
quetiapina;Esquizofrenia;25 mg, 100 mg, 200 mg e 300 mg – comprimido
quetiapina;Transtorno Afetivo Bipolar;25 mg, 100 mg, 200 mg e 300 mg – comprimido
quetiapina;Transtorno Esquizoafetivo;25 mg, 100 mg, 200 mg e 300 mg – comprimido
raloxifeno;Osteoporose;60 mg – comprimido
rasagilina;Doença de Parkinson;1 mg – comprimido
riluzol;Esclerose Lateral Amiotrófica;50 mg – comprimido
risanquizumabe;Psoríase;CANETA APLICADORA 150MG/ML COM 1 ML.
risdiplam;Atrofia Muscular Espinhal 5q Tipo 1 (G12.0);0,75 mg/mL pó para solução oral – frasco 80 mL.
risdiplam;Atrofia Muscular Espinhal 5q Tipo 2 (G12.1);0,75 mg/mL pó para solução oral – frasco 80 mL.
risedronato;Doença de Paget;35 mg - comprimido
risedronato;Osteoporose;35 mg - comprimido
risperidona;Comportamento Agressivo como Transtorno do Espectro do Autismo;1 mg, 2 mg e 3 mg – comprimido; 1 mg/ml – solução oral (por frasco de 30 ml)
risperidona;Esquizofrenia;1 mg, 2 mg e 3 mg – comprimido
risperidona;Transtorno Afetivo Bipolar;1 mg, 2 mg e 3 mg – comprimido
risperidona;Transtorno Esquizoafetivo;1 mg, 2 mg e 3 mg – comprimido
rituximabe;Artrite Reumatoide;500 mg injetável – frasco-ampola de 50mL
rituximabe;Vasculite;Rituximabe 500mg injetável- frasco ampola de 50ml
rivastigmina;Doença de Alzheimer;1,5 mg, 3 mg, 4,5 mg e 6 mg – cápsula;
rivastigmina;Doença de Parkinson;1,5 mg; 3 mg; 4,5 mg; 6 mg – cápsula
sacarato de hidróxido férrico;Anemia em Pacientes com Insuficiência Renal Crônica - Reposição de Ferro;100 mg injetável – frasco de 5mL
sacubitril valsartana;Insuficiência Cardíaca;50 mg,100 mg e 200 mg - por comprimido.
sapropterina;Fenilcetonúria;100 mg - comprimido
secuquinumabe;Artrite psoríaca;150mg/mL solução injetável – seringa preenchida
secuquinumabe;Espondilite Ancilosante;150mg/mL solução injetável – seringa preenchida
secuquinumabe;Psoríase;150 mg/mL solução injetável (seringa preenchida)
selexipague;Hipertensão Arterial Pulmonar;200 mcg, 400 mcg, 600 mcg, 800 mcg, 1000 mcg, 1200 mcg, 1400 mcg
sevelamer;Distúrbio Mineral Ósseo na Doença Renal Crônica;800 mg – comprimido
sildenafila;Esclerose Sistêmica;25 mg e 50 mg – comprimido
sildenafila;Hipertensão Arterial Pulmonar;20 mg – comprimido
sirolimo;Imunossupressão no Transplante Hepático em Pediatria;1 mg e 2 mg – drágea
sirolimo;Imunossupressão no Transplante Renal;1 mg e 2 mg – drágea
sirolimo;Linfangioleiomiomatose (J84.8);1 mg e 2 mg – drágea
somatropina;Deficiência de Hormônio do Crescimento - Hipopituitarismo;• 4 UI injetável (1,33 mg por frasco-ampola = 1,33 mg por ml de solução injetável)
somatropina;Síndrome de Turner;• 4 UI injetável (1,33 mg por frasco-ampola = 1,33 mg por ml de solução injetável)
sulfassalazina;Artrite idiopática juvenil;500 mg – comprimido
sulfassalazina;Artrite Psoríaca;500 mg – comprimido
sulfassalazina;Artrite Reativa - Doença de Reiter;500 mg – comprimido
sulfassalazina;Artrite Reumatóide;500 mg – comprimido
sulfassalazina;Artropatia Enteropática;500 mg – comprimido
sulfassalazina;Doença de Crohn;500 mg – comprimido
sulfassalazina;Espondilite Ancilosante;500 mg – comprimido
sulfassalazina;Retocolite Ulcerativa;500 mg – comprimido
tacrolimo;Imunossupressão no Transplante Cardíaco;1 m g – cápsula e 5 mg – cápsul a
tacrolimo;Imunossupressão no Transplante Hepático em Adultos;1 mg e 5 mg – cápsula
tacrolimo;Imunossupressão no Transplante Hepático em Pediatria;1 mg e 5 mg – cápsula
tacrolimo;Imunossupressão no Transplante Renal;1 mg e 5 mg – cápsula
tacrolimo;Síndrome Nefrótica Primária em Crianças e Adolescentes;1 mg e 5 mg – cápsula
tafamidis;Amiloidoses Associadas à Transtirretina;20mg - cápsula, 61mg - cápsulas
teriflunomida;Esclerose Multipla;14 mg – comprimido
timolol;Glaucoma;5,0 mg/ml solução oftálmica – frasco de 5mL
tiotrópio + olodaterol;DPOC;Brometo de Tiotrópio Monoidratado 2,5 mcg + cloridrato de Olodaterol 2,5 mcg –
